Filename,Class,Vertices,Faces,Barycenter offset,Principal comp error,SOM error,Max dim
D00792.obj,Apartment,14525,27516,0.10006053232124786,-6.661338147750939e-16,6.0,1.928785
D00859.obj,Apartment,17947,34650,0.020566673650133597,-2.220446049250313e-16,2.0,1.897966
D00860.obj,Apartment,19857,25206,0.008572015663334164,-5.551115123125783e-16,2.0,1.69196
D00869.obj,Apartment,44585,86234,0.03319621960311524,5.551115123125783e-16,4.0,1.672896
D00921.obj,Apartment,12842,7983,0.08299510771740158,-1.7763568394002505e-15,2.0,1.6733060000000002
D00953.obj,Apartment,35432,68418,0.05753333557061994,4.440892098500626e-16,2.0,1.722878
m463.obj,Apartment,25190,49989,0.34021736789950074,4.440892098500626e-16,6.0,0.95
m464.obj,Apartment,8301,12810,0.3432315856306364,4.440892098500626e-16,6.0,0.95
m465.obj,Apartment,9443,18548,0.2830401927343134,0.0,6.0,0.95
m53.obj,AquaticAnimal,18409,34877,0.4802332325514676,-1.1102230246251565e-16,6.0,0.95
m54.obj,AquaticAnimal,18143,33836,0.46748629045323775,1.9984014443252818e-15,6.0,0.95
m55.obj,AquaticAnimal,19505,37072,0.5075587818158722,7.771561172376096e-16,6.0,0.95
m56.obj,AquaticAnimal,5814,10893,0.547270903764305,-1.2212453270876722e-15,6.0,0.95
m57.obj,AquaticAnimal,18878,36278,0.49058581868605605,1.1102230246251565e-15,6.0,0.95
m58.obj,AquaticAnimal,2476,4948,0.4403423668721561,2.220446049250313e-16,6.0,0.95
m59.obj,AquaticAnimal,947,1889,0.26470863167975156,4.440892098500626e-16,6.0,0.95
m60.obj,AquaticAnimal,1821,3638,0.41086684505361526,3.3306690738754696e-16,6.0,0.95
m61.obj,AquaticAnimal,1341,2504,0.4209927715330374,-5.551115123125783e-16,6.0,0.95
m62.obj,AquaticAnimal,1790,3576,0.47821058994117527,2.220446049250313e-16,6.0,0.95
m63.obj,AquaticAnimal,4410,8460,0.43287218396501614,1.7763568394002505e-15,6.0,0.95
m64.obj,AquaticAnimal,1481,2819,0.27902654485962647,1.1102230246251565e-16,6.0,0.95
m65.obj,AquaticAnimal,2166,4280,0.4929869078525043,-3.3306690738754696e-16,6.0,0.9258339999999999
m66.obj,AquaticAnimal,6634,13242,0.45517411340759706,2.220446049250313e-16,6.0,0.948551
m67.obj,AquaticAnimal,14000,27996,0.3760835613029776,4.440892098500626e-16,6.0,0.95
m68.obj,AquaticAnimal,1450,2892,0.28424497709340707,-6.661338147750939e-16,6.0,0.95
m69.obj,AquaticAnimal,1673,3260,0.40609336064047036,2.220446049250313e-16,6.0,0.95
m70.obj,AquaticAnimal,1358,2626,0.3464704180611323,3.3306690738754696e-16,6.0,0.95
m71.obj,AquaticAnimal,1497,2990,0.34881310094605833,-3.3306690738754696e-16,6.0,0.924713
m72.obj,AquaticAnimal,1632,3192,0.3523240599051227,-4.440892098500626e-16,6.0,0.948776
m73.obj,AquaticAnimal,1957,3899,0.40188404796832494,4.440892098500626e-16,6.0,0.95
m74.obj,AquaticAnimal,1155,2313,0.4095169135722602,-9.992007221626409e-16,6.0,0.9470270000000001
m75.obj,AquaticAnimal,1432,2770,0.3927536106142207,6.661338147750939e-16,6.0,0.93845
m76.obj,AquaticAnimal,1871,3739,0.5210960073206152,6.661338147750939e-16,6.0,0.95
m77.obj,AquaticAnimal,11578,23022,0.30802962352240143,1.1102230246251565e-16,6.0,0.95
m78.obj,AquaticAnimal,1535,2863,0.3162763117337678,1.5543122344752192e-15,6.0,0.948684
m79.obj,AquaticAnimal,1060,1777,0.29598197915802366,0.0,6.0,0.95
m80.obj,AquaticAnimal,1358,2679,0.26453702184653893,1.5543122344752192e-15,6.0,0.9461229999999999
m81.obj,AquaticAnimal,1382,2694,0.37675847320025896,8.881784197001252e-16,6.0,0.95
D00031.obj,Bed,23333,43984,0.001470549383839495,3.3306690738754696e-16,4.0,1.599737
D00110.obj,Bed,12502,24622,0.02745723159836187,-8.881784197001252e-16,0.0,1.6395719999999998
D00121.obj,Bed,15368,24612,0.09248956201439967,-3.3306690738754696e-16,4.0,1.698073
D00184.obj,Bed,7218,14204,0.04470597437294066,-6.661338147750939e-16,0.0,1.6876859999999998
D00210.obj,Bed,22063,34247,0.03040619449815788,-6.661338147750939e-16,6.0,1.4848270000000001
D00213.obj,Bed,15858,31698,0.007129286945358668,6.661338147750939e-16,2.0,1.70258
D00217.obj,Bed,6604,13041,0.007956320289081133,-7.771561172376096e-16,4.0,1.72282
D00307.obj,Bed,25854,50822,0.0015638497561656804,-1.2212453270876722e-15,6.0,1.809326
D00322.obj,Bed,9342,14796,0.03903093188980972,1.7763568394002505e-15,4.0,1.807141
D00417.obj,Bed,12808,24736,0.06236068136681942,1.1102230246251565e-15,4.0,1.5959340000000002
D00538.obj,Bed,7136,13868,0.023710973307089142,8.881784197001252e-16,4.0,1.676846
D00545.obj,Bed,11673,23277,0.010552663363475425,0.0,2.0,1.709518
D00552.obj,Bed,6349,12251,0.0579067937907859,-1.1102230246251565e-16,4.0,1.546605
D00565.obj,Bed,16761,33040,0.034251943655386634,1.1102230246251565e-15,2.0,1.6888619999999999
D00650.obj,Bed,14310,28466,0.009537898217377806,2.220446049250313e-16,2.0,1.6945839999999999
D00735.obj,Bed,8481,16243,0.025980292538942573,2.220446049250313e-16,6.0,1.7583630000000001
D00836.obj,Bed,17735,35104,0.011367060242780351,1.3322676295501878e-15,4.0,1.7149610000000002
D00839.obj,Bed,16364,32648,0.03896579102575268,1.3322676295501878e-15,4.0,1.665043
D00969.obj,Bed,13151,23918,0.05704260314894713,1.6653345369377348e-15,2.0,1.705187
D00988.obj,Bed,8254,16444,0.03141317116868725,-3.3306690738754696e-16,0.0,1.683397
m945.obj,Bed,8116,15659,0.3726989481672792,1.1102230246251565e-15,6.0,0.95
m946.obj,Bed,5335,10356,0.3930861643682273,1.7763568394002505e-15,6.0,0.95
m947.obj,Bed,5376,10376,0.3421348985154013,6.661338147750939e-16,6.0,0.95
m948.obj,Bed,15529,30902,0.49341506811999825,-4.440892098500626e-16,6.0,0.949585
m949.obj,Bed,8217,16410,0.40859572730770755,2.220446049250313e-16,6.0,0.95
m950.obj,Bed,8016,15822,0.5270944969654215,-4.440892098500626e-16,6.0,0.95
m951.obj,Bed,5722,10898,0.40769080616295017,-4.440892098500626e-16,6.0,0.95
D00016.obj,Bicycle,24279,48059,0.002549618746377496,4.440892098500626e-16,4.0,1.8723839999999998
D00033.obj,Bicycle,9780,20694,0.015321454054208147,8.881784197001252e-16,4.0,1.943924
D00040.obj,Bicycle,25426,50650,0.060393054134167214,1.1102230246251565e-16,4.0,1.9047939999999999
D00077.obj,Bicycle,16416,32265,0.042361871480919897,-1.1102230246251565e-15,2.0,1.891602
D00078.obj,Bicycle,22674,44740,0.0007531904977943084,2.220446049250313e-16,2.0,1.88681
D00462.obj,Bicycle,56754,111471,0.00417485767345266,2.220446049250313e-16,2.0,1.914858
D00514.obj,Bicycle,6951,12939,0.012492330305000935,1.1102230246251565e-16,2.0,1.8681109999999999
D00536.obj,Bicycle,30832,60488,0.0012587289451180454,-6.661338147750939e-16,2.0,1.9083160000000001
D00555.obj,Bicycle,34364,64544,0.011913347940120488,4.440892098500626e-16,6.0,1.926602
D00558.obj,Bicycle,19417,37661,0.000638776175690769,7.771561172376096e-16,0.0,1.953064
D00567.obj,Bicycle,6080,12204,0.004590812991994584,-1.1102230246251565e-16,6.0,1.914898
D00621.obj,Bicycle,23847,47195,0.006393604736431818,3.3306690738754696e-16,4.0,1.8712140000000002
D00708.obj,Bicycle,22495,44110,6.719242475277386e-05,-1.1102230246251565e-16,2.0,1.93589
D00750.obj,Bicycle,13533,26408,0.04445688574441258,-4.440892098500626e-16,4.0,1.914939
D00838.obj,Bicycle,23397,45925,0.00025474631269577994,-8.881784197001252e-16,2.0,1.9149180000000001
D00847.obj,Bicycle,22672,44707,0.0014885519237833897,1.2212453270876722e-15,2.0,1.9063219999999998
D00904.obj,Bicycle,5354,10548,0.023165417522493462,-4.440892098500626e-16,4.0,1.912909
D00930.obj,Bicycle,29173,57224,0.009126073072324811,-4.440892098500626e-16,4.0,1.732735
D00931.obj,Bicycle,32603,64230,0.016476281401779924,2.220446049250313e-16,2.0,1.7704019999999998
D00974.obj,Bicycle,6045,12065,0.018104416866430884,-2.220446049250313e-16,6.0,1.893956
m1472.obj,Bicycle,1874,3431,0.3826436630422396,5.551115123125783e-16,6.0,0.95
m1473.obj,Bicycle,5615,11518,0.34674708912225444,-3.3306690738754696e-16,6.0,0.95
m1475.obj,Bicycle,6049,12065,0.30240290242230977,8.881784197001252e-16,6.0,0.95
m1476.obj,Bicycle,1607,3258,0.34431596174100904,1.5543122344752192e-15,6.0,0.95
m1477.obj,Bicycle,22682,44727,0.3879232118734033,3.3306690738754696e-16,6.0,0.95
m1478.obj,Bicycle,12900,25311,0.30100007027030257,8.881784197001252e-16,6.0,0.9430580000000001
D00069.obj,Biplane,23109,46040,0.009474330988679959,1.3322676295501878e-15,2.0,1.946584
D00132.obj,Biplane,7100,13716,0.001899881222031158,1.3322676295501878e-15,4.0,1.896194
D00178.obj,Biplane,10942,8057,0.007313506262509121,2.220446049250313e-16,2.0,1.35761
D00199.obj,Biplane,12386,21526,0.024849916931653927,-3.3306690738754696e-16,2.0,1.9321359999999999
D00246.obj,Biplane,14082,9353,0.0017781895949660908,1.3322676295501878e-15,6.0,1.983473
D00276.obj,Biplane,9766,19360,0.10642483734561875,4.440892098500626e-16,0.0,1.779216
D00277.obj,Biplane,22427,41567,0.011613325368515408,7.771561172376096e-16,4.0,1.8685610000000001
D00320.obj,Biplane,9723,17476,0.0023216750199691874,3.3306690738754696e-16,2.0,1.974712
D00373.obj,Biplane,5941,12536,0.0054894365634830305,3.3306690738754696e-16,4.0,1.898203
D00410.obj,Biplane,10641,21202,0.027430801806043032,-1.3322676295501878e-15,2.0,1.922227
D00490.obj,Biplane,24998,46318,0.011024158974614062,0.0,2.0,1.8292190000000002
D00515.obj,Biplane,5381,10522,0.046138751971076114,1.3322676295501878e-15,2.0,1.753328
D00601.obj,Biplane,18086,36024,0.0057323039344486645,1.7763568394002505e-15,4.0,1.628342
D00616.obj,Biplane,20306,37102,0.06458191097921795,8.881784197001252e-16,0.0,1.9829599999999998
D00632.obj,Biplane,8197,16046,0.006844824637156441,-5.551115123125783e-16,2.0,1.8724509999999999
D00634.obj,Biplane,48973,77264,0.04307149932470546,-1.2212453270876722e-15,2.0,1.934928
D00666.obj,Biplane,8460,16519,0.12205614699249875,8.881784197001252e-16,2.0,1.917884
D00854.obj,Biplane,18966,37292,0.009635094370804011,-1.5543122344752192e-15,4.0,1.933307
D00890.obj,Biplane,45079,47490,0.027787185427402914,5.551115123125783e-16,2.0,1.771344
D00900.obj,Biplane,27750,49863,0.03963076402238437,-2.220446049250313e-16,2.0,1.9844650000000001
m1118.obj,Biplane,10676,20408,0.35348552875075323,-4.440892098500626e-16,6.0,0.95
m1119.obj,Biplane,4351,8522,0.3672395758800801,-6.661338147750939e-16,6.0,0.95
m1120.obj,Biplane,65722,129881,0.5860254839657768,6.661338147750939e-16,6.0,0.95
m1121.obj,Biplane,3295,6399,0.34966105214552173,-4.440892098500626e-16,6.0,0.949141
m1122.obj,Biplane,6704,11577,0.332927915940083,-7.771561172376096e-16,6.0,0.95
m1123.obj,Biplane,3303,6353,0.3866285340155178,-1.6653345369377348e-15,6.0,0.95
m1124.obj,Biplane,2818,5396,0.33411674153917764,-4.440892098500626e-16,6.0,0.95
m1125.obj,Biplane,4363,8457,0.36249694383418984,-8.881784197001252e-16,6.0,0.95
m1126.obj,Biplane,3236,6268,0.40868941865202707,4.440892098500626e-16,6.0,0.95
m1127.obj,Biplane,4169,8136,0.3494468941854882,0.0,6.0,0.95
m1128.obj,Biplane,3379,6504,0.5193024500661357,4.440892098500626e-16,6.0,0.95
m1129.obj,Biplane,3455,6524,0.5096897828313108,0.0,6.0,0.949991
m1131.obj,Biplane,3001,5827,0.3519555447927929,8.881784197001252e-16,6.0,0.95
m1132.obj,Biplane,3995,7697,0.4041735587281643,3.3306690738754696e-16,6.0,0.95
m1133.obj,Biplane,3528,6846,0.3584440712041218,6.661338147750939e-16,6.0,0.95
m1134.obj,Biplane,2613,5052,0.31148577069745403,-2.220446049250313e-16,6.0,0.95
m1135.obj,Biplane,2939,5669,0.33336331711619455,-4.440892098500626e-16,6.0,0.95
m1136.obj,Biplane,1747,3353,0.3260034585689843,-7.771561172376096e-16,6.0,0.95
m1137.obj,Biplane,2777,5234,0.30189770344890055,4.440892098500626e-16,6.0,0.95
m1138.obj,Biplane,5433,10157,0.516034812528865,1.1102230246251565e-16,6.0,0.922505
m1139.obj,Biplane,7729,13366,0.37735969823112964,8.881784197001252e-16,6.0,0.95
m1141.obj,Biplane,11819,23138,0.5454229691991335,-1.1102230246251565e-15,6.0,0.95
m1143.obj,Biplane,8557,16901,0.3335374856223197,0.0,6.0,0.924421
m1144.obj,Biplane,6799,12781,0.3442651311566309,1.3322676295501878e-15,6.0,0.95
m1146.obj,Biplane,3092,5762,0.45300744149661376,2.220446049250313e-16,6.0,0.95
D00089.obj,Bird,4713,9422,0.0399145187049415,4.440892098500626e-16,0.0,1.903166
D00113.obj,Bird,15871,31702,0.07674898679901182,2.220446049250313e-16,4.0,1.719457
D00164.obj,Bird,8188,16135,0.08419156996923577,-6.661338147750939e-16,2.0,1.8819080000000001
D00234.obj,Bird,5782,11522,0.001223952099411013,1.2212453270876722e-15,2.0,1.87574
D00271.obj,Bird,12813,24753,0.06551797544483837,-5.551115123125783e-16,0.0,1.909856
D00284.obj,Bird,13253,26516,0.07569867252913655,2.220446049250313e-16,2.0,1.899975
D00323.obj,Bird,2628,5108,0.0671433043733784,5.551115123125783e-16,6.0,1.976372
D00386.obj,Bird,4177,8350,0.033776527482942534,1.1102230246251565e-15,2.0,1.868513
D00438.obj,Bird,4556,9213,0.042930638844417876,1.1102230246251565e-16,0.0,1.9732150000000002
D00442.obj,Bird,9745,17119,0.0101601002577506,2.220446049250313e-16,4.0,1.785707
D00546.obj,Bird,5775,10840,0.06561844998882105,2.220446049250313e-16,2.0,1.951502
D00599.obj,Bird,3540,7158,0.05725606220886752,1.5543122344752192e-15,2.0,1.9572509999999999
D00625.obj,Bird,6492,11009,0.05210307651517485,-1.1102230246251565e-15,4.0,1.907742
D00689.obj,Bird,4790,9643,0.05246551097047582,1.1102230246251565e-16,2.0,1.946081
D00736.obj,Bird,4861,9782,0.04004362251058738,1.5543122344752192e-15,0.0,1.977909
D00762.obj,Bird,5534,11064,0.04738560692309466,-2.220446049250313e-16,0.0,1.7885079999999998
D00862.obj,Bird,6517,13031,0.05528233707180648,-8.881784197001252e-16,2.0,1.9313339999999999
D00922.obj,Bird,8344,16676,0.06641183342968307,0.0,6.0,1.7559170000000002
D00961.obj,Bird,4492,9072,0.039776995142521886,6.661338147750939e-16,2.0,1.9831310000000002
D00999.obj,Bird,3269,6535,0.05751284136118427,3.3306690738754696e-16,4.0,1.996127
m28.obj,Bird,6076,11660,0.4058200906607837,-2.220446049250313e-16,6.0,0.95
m29.obj,Bird,3169,6294,0.6820209094645635,2.220446049250313e-16,6.0,0.949109
m30.obj,Bird,2043,4132,0.41086353873790166,-4.440892098500626e-16,6.0,0.95
m31.obj,Bird,3474,6894,0.36712666679268013,6.661338147750939e-16,6.0,0.95
m32.obj,Bird,2471,4930,0.4670512438657315,1.9984014443252818e-15,6.0,0.933967
m33.obj,Bird,5507,10890,0.5360561238987571,-4.440892098500626e-16,6.0,0.95
m34.obj,Bird,1128,2252,0.3551678909858711,-7.771561172376096e-16,6.0,0.9223169999999999
m35.obj,Bird,4377,8750,0.5162854417267561,6.661338147750939e-16,6.0,0.95
m36.obj,Bird,3098,5986,0.6624071372812643,-3.3306690738754696e-16,6.0,0.95
m37.obj,Bird,2298,4592,0.4572406587268414,-7.771561172376096e-16,6.0,0.95
m38.obj,Bird,994,1986,0.29399171860353424,1.1102230246251565e-16,6.0,0.95
m39.obj,Bird,3006,5895,0.5106564644722916,-3.3306690738754696e-16,6.0,0.95
m40.obj,Bird,1894,3811,0.31063497532055806,1.5543122344752192e-15,6.0,0.95
m41.obj,Bird,1345,2751,0.34384455075565634,5.551115123125783e-16,6.0,0.95
m42.obj,Bird,862,1672,0.35505593097782234,-5.551115123125783e-16,6.0,0.95
m43.obj,Bird,817,1472,0.49698420260507864,-4.440892098500626e-16,6.0,0.946785
m44.obj,Bird,1432,2860,0.3257017947802514,7.771561172376096e-16,6.0,0.867666
m45.obj,Bird,16542,33072,0.3099071770615188,7.771561172376096e-16,6.0,0.95
m47.obj,Bird,878,1683,0.43181296041274164,1.7763568394002505e-15,6.0,0.95
m48.obj,Bird,2163,4239,0.39951174591133287,-1.1102230246251565e-16,6.0,0.95
m49.obj,Bird,5878,11443,0.4989219185690951,-4.440892098500626e-16,6.0,0.949558
m50.obj,Bird,2363,4722,0.3608438619050054,1.1102230246251565e-16,6.0,0.95
m51.obj,Bird,2873,5726,0.33481376522393264,-1.1102230246251565e-16,6.0,0.883254
m52.obj,Bird,5197,10366,0.5393316387849455,3.3306690738754696e-16,6.0,0.95
D01009.obj,Bookset,9477,19658,0.07053207520103569,0.0,6.0,0.42
D01013.obj,Bookset,11298,20252,0.17845482585718894,1.7763568394002505e-15,6.0,0.457927
D01030.obj,Bookset,6144,12290,0.08929339515287865,6.661338147750939e-16,6.0,0.421721
D01038.obj,Bookset,9911,20159,42.17239869435095,-6.661338147750939e-16,6.0,0.9668649999999999
D01042.obj,Bookset,3256,6326,3.912036161900539,-9.992007221626409e-16,4.0,0.278
D01050.obj,Bookset,3779,7538,0.05907593440378745,0.0,6.0,0.318973
D01065.obj,Bookset,12756,22870,13.926392230407545,1.3322676295501878e-15,6.0,0.5014250000000002
D01078.obj,Bookset,2323,4674,0.2776774045101958,1.1102230246251565e-15,6.0,0.30686900000000006
D01096.obj,Bookset,14407,28385,0.12156018583152686,1.5543122344752192e-15,6.0,0.534848
D01108.obj,Bookset,12629,26363,3.154200638397527,4.440892098500626e-16,6.0,0.398873
D01109.obj,Bookset,6834,13729,0.05552585986534829,1.1102230246251565e-15,6.0,0.306869
D01110.obj,Bookset,4885,9882,0.06376633893769139,1.9984014443252818e-15,6.0,0.347472
D01122.obj,Bookset,868,1768,0.01752374717691645,-1.2212453270876722e-15,6.0,0.198004
D01135.obj,Bookset,142402,287546,33.96233973774323,-1.4432899320127035e-15,6.0,10.50258
D01146.obj,Bookset,4918,8739,10.521964573561664,1.2212453270876722e-15,6.0,0.318973
D01182.obj,Bookset,2713,5372,0.021549623053758724,-1.5543122344752192e-15,4.0,0.24173
D01183.obj,Bookset,14895,28740,5.525601050952134,-9.992007221626409e-16,6.0,1.916493
D01184.obj,Bookset,3613,7580,0.04336427439151487,6.661338147750939e-16,6.0,0.326618
D01190.obj,Bookset,18321,38203,4.237620281271209,-6.661338147750939e-16,4.0,0.7346050000000002
D01199.obj,Bookset,36449,73474,50.95346907044727,1.7763568394002505e-15,6.0,13.521808
D00020.obj,Bottle,3611,7218,0.0007577134412791429,-1.3322676295501878e-15,0.0,1.67164
D00123.obj,Bottle,4245,8351,0.02797952767786667,-6.661338147750939e-16,2.0,1.5666350000000002
D00139.obj,Bottle,10836,21421,0.006919061751242146,1.3322676295501878e-15,4.0,1.646151
D00166.obj,Bottle,23142,45936,0.004846123087679425,-7.771561172376096e-16,4.0,1.734727
D00176.obj,Bottle,7138,14272,0.05210070508446497,0.0,4.0,1.7062599999999999
D00208.obj,Bottle,11759,23510,0.0011392211033905979,5.551115123125783e-16,4.0,1.709093
D00281.obj,Bottle,14742,29366,0.006760900388501422,-1.1102230246251565e-16,0.0,1.7081849999999998
D00311.obj,Bottle,10235,20462,0.02082254221883132,-1.5543122344752192e-15,2.0,1.708925
D00347.obj,Bottle,9033,18004,0.0026492080949768555,4.440892098500626e-16,4.0,1.581158
D00350.obj,Bottle,5828,11614,0.0023814163299891978,4.440892098500626e-16,2.0,1.7617500000000001
D00390.obj,Bottle,18986,37861,0.006400498923779806,1.1102230246251565e-16,2.0,1.596648
D00451.obj,Bottle,11448,18236,0.15329167373578034,-1.1102230246251565e-16,2.0,1.561777
D00679.obj,Bottle,12640,23052,0.16529603620667124,1.1102230246251565e-15,2.0,1.716407
D00696.obj,Bottle,13754,25850,0.1067388612356044,-5.551115123125783e-16,4.0,1.697295
D00711.obj,Bottle,12546,25044,0.014361912483727934,-2.220446049250313e-16,6.0,1.903782
D00716.obj,Bottle,10431,20951,0.0008373488763856059,1.1102230246251565e-16,2.0,1.835703
D00726.obj,Bottle,10163,18390,0.21216874871963687,2.220446049250313e-15,2.0,1.962017
D00892.obj,Bottle,10088,20168,0.00456127047291114,8.881784197001252e-16,6.0,1.690623
D00940.obj,Bottle,10234,20454,0.02313669736370651,2.220446049250313e-16,2.0,1.805831
D00959.obj,Bottle,3828,7560,0.0532932935406629,6.661338147750939e-16,2.0,1.504527
m482.obj,Bottle,3354,6453,0.23177958389972467,-1.1102230246251565e-15,6.0,0.95
m483.obj,Bottle,1436,2686,0.3126257450881823,0.0,6.0,0.95
m484.obj,Bottle,3008,5984,0.20213571608579595,5.551115123125783e-16,6.0,0.949992
m485.obj,Bottle,2854,5523,0.25010506552231326,-3.3306690738754696e-16,6.0,0.95
m486.obj,Bottle,5244,10291,0.2868215633720298,1.1102230246251565e-16,6.0,0.949947
m487.obj,Bottle,2803,5818,0.26182264538677946,-1.1102230246251565e-16,6.0,0.95
m488.obj,Bottle,2406,4808,0.24950386521233794,-5.551115123125783e-16,6.0,0.95
m489.obj,Bottle,5858,11560,0.21219887901184767,-1.1102230246251565e-16,6.0,0.95
m490.obj,Bottle,3729,7338,0.284685558171837,6.661338147750939e-16,6.0,0.95
m491.obj,Bottle,3836,7543,0.31757218297599094,-6.661338147750939e-16,6.0,0.95
m492.obj,Bottle,2082,4162,0.3248287800719395,-5.551115123125783e-16,6.0,0.95
m382.obj,BuildingNonResidential,8872,17600,0.5482703243075444,-1.2212453270876722e-15,6.0,0.95
m383.obj,BuildingNonResidential,8645,17070,0.32457394002065865,4.440892098500626e-16,6.0,0.928689
m384.obj,BuildingNonResidential,9939,18725,0.46631329617908435,4.440892098500626e-16,6.0,0.95
m385.obj,BuildingNonResidential,8452,15329,0.40801081121996763,6.661338147750939e-16,6.0,0.95
m386.obj,BuildingNonResidential,10447,20838,0.5997720616901763,1.1102230246251565e-16,6.0,0.95
m387.obj,BuildingNonResidential,12402,24784,0.5139683869120604,8.881784197001252e-16,6.0,0.95
m389.obj,BuildingNonResidential,24942,52176,0.3991470671241239,-8.881784197001252e-16,6.0,0.95
m390.obj,BuildingNonResidential,2818,5154,0.5380231230390417,-7.771561172376096e-16,6.0,0.927219
m391.obj,BuildingNonResidential,5063,9050,0.41897017216987287,1.3322676295501878e-15,6.0,0.95
m392.obj,BuildingNonResidential,2896,5864,0.3002543742238353,9.992007221626409e-16,6.0,0.95
m393.obj,BuildingNonResidential,7469,14303,0.5242494776875631,0.0,6.0,0.95
m394.obj,BuildingNonResidential,10663,21450,0.5505549548814863,8.881784197001252e-16,6.0,0.95
m395.obj,BuildingNonResidential,12402,23940,0.6493643023874234,-2.220446049250313e-16,6.0,0.95
m396.obj,BuildingNonResidential,7811,14912,0.5040081144563081,-1.1102230246251565e-16,6.0,0.95
m397.obj,BuildingNonResidential,14222,28400,0.668496878123895,4.440892098500626e-16,6.0,0.95
m398.obj,BuildingNonResidential,10996,21932,0.5248988059728342,7.771561172376096e-16,6.0,0.95
m399.obj,BuildingNonResidential,7530,13536,0.5939990808287421,9.992007221626409e-16,6.0,0.95
m400.obj,BuildingNonResidential,8430,16724,0.49842078373170173,-3.3306690738754696e-16,6.0,0.95
m401.obj,BuildingNonResidential,6936,13373,0.4673050617826755,0.0,6.0,0.95
m402.obj,BuildingNonResidential,21288,41661,0.3031758816201478,8.881784197001252e-16,6.0,0.95
m404.obj,BuildingNonResidential,14510,31510,0.3694874888528754,2.220446049250313e-16,6.0,0.95
m405.obj,BuildingNonResidential,21009,41835,0.6594493407842833,8.881784197001252e-16,6.0,0.95
m406.obj,BuildingNonResidential,7328,13892,0.39244964263566234,6.661338147750939e-16,6.0,0.95
m407.obj,BuildingNonResidential,7096,13578,0.5151798429165737,-2.220446049250313e-16,6.0,0.95
m408.obj,BuildingNonResidential,11585,23038,0.44261862394172075,4.440892098500626e-16,6.0,0.95
m409.obj,BuildingNonResidential,3842,6237,0.5258888032727296,6.661338147750939e-16,6.0,0.95
m410.obj,BuildingNonResidential,20069,39705,0.5200714111489779,-3.3306690738754696e-16,6.0,0.95
